ind,x,y,crop,DBH_cm,height_cm,se_obs_h,fruit_type,fruit_color,seeds_per_fruit
MYDA01,10.36612001,76.93820327,30,237,2800,4.166666666666667,Arillate,yellow-orange,1
MYDA02,10.36639787,76.93832682,5,148,2000,4.583333333333333,Arillate,yellow-orange,1
MYDA03,10.36668705,76.93823285,4,182,2000,6,Arillate,yellow-orange,1
MYDA04,10.34771629,76.89878988,4,211,3000,5,Arillate,yellow-orange,1
MYDA05,10.34755259,76.89824807,13,169,3000,4,Arillate,yellow-orange,1
MYDA06,10.35785,76.917834,10,189,2400,5,Arillate,yellow-orange,1
MYDA07,10.35741641,76.91566139,22,167,2600,4.166666666666667,Arillate,yellow-orange,1
MYDA08,10.30956731,76.83735539,44,167,2000,5.15,Arillate,yellow-orange,1
MYDA09,10.30776319,76.83397464,15,115,1800,4.333333333333333,Arillate,yellow-orange,1
MYDA10,10.31491849,76.83060813,2,142,1900,5.083333333333333,Arillate,yellow-orange,1
MYDA11,10.3142538,76.8326943,5,178,1700,4.416666666666667,Arillate,yellow-orange,1
MYDA12,10.372744,76.993368,5,179,2300,4,Arillate,yellow-orange,1
MYDA13,10.34741672,76.93420426,8,235,3100,5.233333333333333,Arillate,yellow-orange,1
MYDA14,10.34749718,76.9337358,7,265,3300,3.9166666666666665,Arillate,yellow-orange,1
MYDA15,10.36749758,76.9362502,2,195,2800,5.166666666666667,Arillate,yellow-orange,1
MYDA16,10.34686318,76.93357486,8,203,3300,4.333333333333333,Arillate,yellow-orange,1
MYDA17,10.31451272,76.83059832,4,128,2100,5,Arillate,yellow-orange,1
MYDA18,10.30913925,76.83428301,3,121,2000,4.083333333333333,Arillate,yellow-orange,1
MYDA19,10.35662767,76.91587245,7,196,3000,5.15,Arillate,yellow-orange,1
MYDA20,10.34821761,76.93243174,3,165,2900,4.066666666666666,Arillate,yellow-orange,1
MYDA21,10.34802625,76.93409462,2,196,2800,5,Arillate,yellow-orange,1
MYDA22,10.39540973,76.87197441,2,135,2400,5,Arillate,yellow-orange,1
MYDA23,10.40320801,76.87691513,6,152,1700,5,Arillate,yellow-orange,1
MYDA24,10.40674232,76.87600695,4,162,2100,5,Arillate,yellow-orange,1
MYDA31,10.40640939,76.87440625,1,214,2400,4.466666666666667,Arillate,yellow-orange,1
MYDA25,10.39644197,76.87706533,7,116,1800,4.65,Arillate,yellow-orange,1
MYDA26,10.39667205,76.87724085,2,107,2100,5.166666666666667,Arillate,yellow-orange,1
MYDA27,10.39673156,76.87558944,2,134,2100,4,Arillate,yellow-orange,1
MYDA28,10.38827028,76.87544955,2,219,3200,5,Arillate,yellow-orange,1
MYDA29,10.40315436,76.87701998,10,130,2400,3.3333333333333335,Arillate,yellow-orange,1
MYDA30,10.37449781,76.99336658,1,298,2500,5.083333333333333,Arillate,yellow-orange,1
MYDA32,10.37314237,76.99405666,34,262,3100,5,Arillate,yellow-orange,1
MYDA33,10.37483577,76.99323993,40,149,2900,5,Arillate,yellow-orange,1
