sp,Ramphastos.dicolorus,Celeus.flavescens,Cranioleuca.pallida,Elaenia.flavogaster,Elaenia.mesoleuca,Elaenia.sp,Pitangus.sulphuratus,Tyrannus.melancholicus,Turdus.amaurochalinus,Turdus.leucomelas,Turdus.rufiventris,Vireo.olivaceus,Zonotrichia.capensis,Conirostrum.speciosum,Coereba.flaveola,Dacnis.cayana,Pipraeidea.melanonota,Saltator.similis,Tangara.cayana,Thlypopsis.sordida,Thraupis.palmarum,Thraupis.sayaca
Ficus microcarpa,0,0.0034482758620689655,0,0,0,0,0.05862068965517241,0.006896551724137931,0.010344827586206896,0,0.03793103448275862,0,0.017241379310344827,0,0.017241379310344827,0,0,0,0.013793103448275862,0,0,0.041379310344827586
Vitex polygama,0.010344827586206896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655
Eugenia cerasiflora,0,0,0.0034482758620689655,0,0,0,0.0034482758620689655,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0.006896551724137931
Alchornea sidifolia,0,0,0,0.0034482758620689655,0,0,0.006896551724137931,0.0034482758620689655,0,0.006896551724137931,0.017241379310344827,0.0034482758620689655,0,0,0.017241379310344827,0.0034482758620689655,0,0.0034482758620689655,0.006896551724137931,0.006896551724137931,0,0.08275862068965517
Schinus terebinthifolius,0,0,0,0,0,0.010344827586206896,0.013793103448275862,0.013793103448275862,0,0,0.0034482758620689655,0,0,0,0.013793103448275862,0.010344827586206896,0,0,0.020689655172413793,0,0,0.07241379310344828
Archontophoenix cunninghamiana,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0.006896551724137931,0,0,0,0,0,0,0,0.020689655172413793,0,0,0
Cissus selloana,0,0,0,0,0,0,0.041379310344827586,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0,0,0
Cinnamomum triplinerve,0,0,0,0,0,0,0.006896551724137931,0,0,0,0.020689655172413793,0.0034482758620689655,0,0,0,0,0,0.006896551724137931,0,0,0.0034482758620689655,0.0034482758620689655
Struthanthus marginatus,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0,0,0
Davilla rugosa,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0,0,0.006896551724137931,0,0,0,0,0,0
Myrciaria floribunda,0,0,0,0,0.010344827586206896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annona neosericea,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordia ecalyculata,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0,0,0
Endlicheria paniculata,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0,0,0,0
Guarea macrophylla,0,0,0,0,0,0,0,0,0,0,0.027586206896551724,0,0,0,0,0,0,0,0,0,0,0
Prunus reflexa,0,0,0,0,0,0,0,0,0,0,0.04827586206896552,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0
Miconia ligustroides,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0.0034482758620689655,0,0,0,0.013793103448275862,0,0,0.0034482758620689655
Guettarda viburnoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006896551724137931,0,0,0,0.02413793103448276,0.013793103448275862,0,0,0.02413793103448276
Myrcia tomentosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0,0.020689655172413793
Rudgea jasminoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006896551724137931,0,0,0,0
Casearia sylvestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0.006896551724137931
Cecropia glaziovii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020689655172413793
Ficus insipida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010344827586206896
Solanum erianthum,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0,0,0.013793103448275862
Cestrum schlechtendalii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006896551724137931,0,0,0,0,0
Lantana camara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034482758620689655,0,0,0,0,0,0
