ind,Pycnonotus_cafer,Sturnia_pagodarum,Zosterops_palpebrosus,Acridotheres_fuscus,Eudynamys_scolopaceus,Psilopogon_haemacephalus,Pycnonotus_jocosus,Sylvia_curruca,Pycnonotus_luteolus,Acridotheres_tristis,Psilopogon_viridis,Psittacula_cyanocephala
NC01,0.027833001988071572,0.01126573889993373,0.0013253810470510272,0,0,0,0,0,0,0,0,0
NC02,0.009940357852882704,0.003976143141153081,0,0.0019880715705765406,0,0,0,0,0,0,0,0
NC03,0.14512922465208747,0.005301524188204109,0.011928429423459244,0,0.0033134526176275677,6.626905235255136e-4,6.626905235255136e-4,0.0013253810470510272,0,0,0,0
NC04,0.061630218687872766,0,0.004638833664678595,0,0,0,0,0,0,0,0,0
NC05,0.11862160371106693,0.005301524188204109,0.0026507620941020544,0.0013253810470510272,0,0,6.626905235255136e-4,0,0.0066269052352551355,0,0,0
NC06,0.04108681245858184,0,0,0,0.0026507620941020544,0,0.0033134526176275677,0,0.0019880715705765406,0,0,0
NC07,0.07886017229953611,0.0033134526176275677,0,0,0,0,6.626905235255136e-4,0,0,6.626905235255136e-4,6.626905235255136e-4,0
NC09,0.01656726308813784,0,0,0,0,0,0,0,0,0,0,0
NC10,0.051027170311464545,0,0,0,0,0,0,0,6.626905235255136e-4,0,0,0
NC11,0.06428098078197482,0.005964214711729622,0.0013253810470510272,6.626905235255136e-4,0,0,0,6.626905235255136e-4,0.0019880715705765406,0.0033134526176275677,0,0.0026507620941020544
NC12,0.019880715705765408,6.626905235255136e-4,0,0,0,0,0,0,0,0,0,0
NC13,0.026507620941020542,0,6.626905235255136e-4,0,0,0,0,0,0,0,0,0
NC14,0,0,0,0,0,0,0,0,0.0013253810470510272,0,0,0
NC15,0.019218025182239893,0,0,0,0,0,0,0,0,0,0,0
NC16,0.15109343936381708,0,0,0,0,0,0.0013253810470510272,0,0,0,0,0
NC17,0.0013253810470510272,0,0,0,0,0,0,0,0,0,0,0
NC18,0.003976143141153081,0,0,0,0,0,0,0,0,0,0,0
NC19,0.041749502982107355,0.0019880715705765406,0,0,0,0,6.626905235255136e-4,0,0,0,0,0
NC20,0.009940357852882704,0,0.0013253810470510272,0,0,0,0.0019880715705765406,0,0,0,0,0
NC21,0.003976143141153081,0,0,0,0,0,0.0013253810470510272,0,0.0013253810470510272,0,0,0
NC22,6.626905235255136e-4,0,0,0,0,0,0,0,0,0,0,0
NC23,6.626905235255136e-4,0,0,0,0,0,0,0,0,0,0,0
