sp,Chiroxiphia_boliviana,Anisognathus_somptuosus,Phyllomyias_sclatery,Tangara_vassorii,Aulacorhynchus_coeruleicinctis,Pyrrhura_molinae,Penelope_montagnii,Chlorospingus_ophthalmicus,Mionectes_striaticollis,Empidonomus_varius,Diglossa_cyanea,Pheucticus_aureoventris,Pipreola_frontalis,Psarocolius_atrovirens,Myioborus_miniatus,Lipaugus_uropygialis,Rupicola_peruvianus,Tangara_argyrofenges,Eubucco_versicolor,Tangara_xantocephala,Thraupis_cyanocephala,Turdus_albicollis,Aratinga_mitrata
Clusia_trochiformis,0.17307692307692307,0.01282051282051282,0.09615384615384616,0,0,0,0,0.01282051282051282,0.02564102564102564,0,0,0,0,0,0.00641025641025641,0,0,0.00641025641025641,0,0,0,0,0
Miconia_cordata_,0.05128205128205128,0.05128205128205128,0,0.08974358974358974,0,0.00641025641025641,0.00641025641025641,0.01282051282051282,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0
Clusia_sphaerocarpa,0.01282051282051282,0,0.00641025641025641,0,0,0,0,0.01282051282051282,0,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0
Sapium,0,0,0,0,0.00641025641025641,0.04487179487179487,0,0,0,0,0,0.01282051282051282,0,0,0,0,0,0,0.00641025641025641,0,0,0,0
Alchornea_triplinervia,0,0.02564102564102564,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0
Psychotria_carthagenensis,0.03205128205128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clusia_lechleri,0,0,0,0,0,0,0,0,0.01282051282051282,0,0.019230769230769232,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos_arechea,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0.01282051282051282,0,0,0,0.00641025641025641,0,0,0,0,0,0.00641025641025641
Eugenia,0,0,0,0,0.01282051282051282,0,0.01282051282051282,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0
Coussarea,0,0.00641025641025641,0,0,0.00641025641025641,0,0.01282051282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dictyocaryum_lamarckianum,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0.01282051282051282,0,0,0,0,0,0,0,0,0
Hieronyma_moritziana,0,0,0,0,0.01282051282051282,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceroxylon_pityrophyllum,0,0,0,0,0.01282051282051282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedyosmum_racemosum,0,0.00641025641025641,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hesperomeles_ferruginea,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hieronyma_laxiflora,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrsine_coriaceae,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatteria_glauca,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hedyosmum_angustifolium,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symplocos_colorata,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
