ind,Cervus_elaphus,Sus_scrofa,Oryctolagus_cuniculus,Rattus_sp,Vulpes_vulpes,Meles_meles
ER002H,0.009302325581395347,0.0046511627906976735,0.0046511627906976735,0,0,0
ER007H,0.013953488372093023,0.009302325581395347,0.009302325581395347,0,0,0.0046511627906976735
ER028H,0.0046511627906976735,0,0,0,0.0046511627906976735,0
ER033H,0.013953488372093023,0,0,0,0.0046511627906976735,0
ER036H,0.05581395348837209,0.009302325581395347,0.0046511627906976735,0,0,0.0046511627906976735
ER037H,0,0.009302325581395347,0,0.009302325581395347,0,0
ER044H,0.03255813953488372,0.009302325581395347,0,0.0046511627906976735,0,0
ER045H,0.046511627906976744,0.0046511627906976735,0,0,0,0
ER047H,0.009302325581395347,0.0046511627906976735,0,0,0,0
ER050H,0.009302325581395347,0.0046511627906976735,0,0,0,0
ER052X,0.013953488372093023,0.023255813953488372,0.009302325581395347,0,0,0
ER053H,0.0046511627906976735,0,0,0,0,0
ER061H,0.046511627906976744,0.009302325581395347,0,0,0,0.009302325581395347
ER067H,0.027906976744186046,0,0.013953488372093023,0,0.009302325581395347,0.013953488372093023
ER070H,0.018604651162790694,0,0.04186046511627907,0,0.009302325581395347,0
ER071M-H,0.009302325581395347,0,0,0,0,0
ER072H,0.023255813953488372,0,0,0,0,0
ER073H,0.046511627906976744,0,0,0,0,0
ER074M-H,0.03255813953488372,0,0,0,0,0
ER079H,0.05116279069767441,0.009302325581395347,0.046511627906976744,0,0,0.009302325581395347
ER080H,0.03255813953488372,0.023255813953488372,0.05581395348837209,0.0046511627906976735,0,0.013953488372093023
ER085H,0.023255813953488372,0,0,0,0,0
ER086H,0.018604651162790694,0,0,0,0,0
ER090H,0.04186046511627907,0,0.0046511627906976735,0,0,0
